episode,mode,mode_episode,score,reward,epsilon
550,train,550,0,-2,0.967642
551,train,551,0,-2,0.967584
552,train,552,18,16,0.967526
553,train,553,0,-2,0.967468
554,train,554,0,-2,0.96741
555,train,555,10,8,0.967352
556,train,556,13,11,0.967294
557,train,557,23,21,0.967236
558,train,558,2,0,0.967178
559,train,559,1,-1,0.96712
560,train,560,12,10,0.967062
561,train,561,0,-2,0.967004
562,train,562,12,10,0.966946
563,train,563,21,19,0.966889
564,train,564,5,3,0.966831
565,train,565,17,15,0.966773
566,train,566,0,-2,0.966715
567,train,567,14,12,0.966657
568,train,568,9,7,0.966599
569,train,569,26,24,0.966541
570,train,570,0,-2,0.966483
571,train,571,9,7,0.966425
572,train,572,10,8,0.966367
573,train,573,7,5,0.966309
574,train,574,3,1,0.966252
575,train,575,2,0,0.966194
576,train,576,0,-2,0.966136
577,train,577,0,-2,0.966078
578,train,578,2,0,0.96602
579,train,579,1,-1,0.965962
580,train,580,15,13,0.965904
581,train,581,13,11,0.965846
582,train,582,19,17,0.965789
583,train,583,9,7,0.965731
584,train,584,56,54,0.965673
585,train,585,33,31,0.965615
586,train,586,39,37,0.965557
587,train,587,13,11,0.965499
588,train,588,0,-2,0.965441
589,train,589,0,-2,0.965384
590,train,590,38,36,0.965326
591,train,591,18,16,0.965268
592,train,592,0,-2,0.96521
593,train,593,28,26,0.965152
594,train,594,3,1,0.965094
595,train,595,0,-2,0.965037
596,train,596,13,11,0.964979
597,train,597,5,3,0.964921
598,train,598,13,11,0.964863
599,train,599,10,8,0.964805
600,train,600,1,-1,0.964747
601,train,601,61,59,0.96469
602,train,602,3,1,0.964632
603,train,603,2,0,0.964574
604,train,604,16,14,0.964516
605,train,605,0,-2,0.964459
606,train,606,9,7,0.964401
607,train,607,0,-2,0.964343
608,train,608,4,2,0.964285
609,train,609,16,14,0.964227
610,train,610,52,50,0.96417
611,train,611,15,13,0.964112
612,train,612,53,51,0.964054
613,train,613,27,25,0.963996
614,train,614,16,14,0.963939
615,train,615,7,5,0.963881
616,train,616,4,2,0.963823
617,train,617,0,-2,0.963765
618,train,618,8,6,0.963708
619,train,619,54,52,0.96365
620,train,620,7,5,0.963592
621,train,621,0,-2,0.963534
622,train,622,15,13,0.963477
623,train,623,0,-2,0.963419
624,train,624,0,-2,0.963361
625,train,625,3,1,0.963304
626,train,626,22,20,0.963246
627,train,627,47,45,0.963188
628,train,628,0,-2,0.96313
629,train,629,9,7,0.963073
630,train,630,0,-2,0.963015
631,train,631,9,7,0.962957
632,train,632,26,24,0.9629
633,train,633,32,30,0.962842
634,train,634,19,17,0.962784
635,train,635,10,8,0.962727
636,train,636,0,-2,0.962669
637,train,637,22,20,0.962611
638,train,638,16,14,0.962554
639,train,639,47,45,0.962496
640,train,640,3,1,0.962438
641,train,641,0,-2,0.962381
642,train,642,0,-2,0.962323
643,train,643,14,12,0.962265
644,train,644,50,48,0.962208
645,train,645,44,42,0.96215
646,train,646,9,7,0.962092
647,train,647,0,-2,0.962035
648,train,648,32,30,0.961977
649,train,649,0,-2,0.961919
650,train,650,61,59,0.961862
651,train,651,25,23,0.961804
652,train,652,0,-2,0.961746
653,train,653,3,1,0.961689
654,train,654,20,18,0.961631
655,train,655,0,-2,0.961574
656,train,656,9,7,0.961516
657,train,657,19,17,0.961458
658,train,658,39,37,0.961401
659,train,659,0,-2,0.961343
